Time,Roll,RollRate,Pitch,PitchRate,Yaw,YawRate,Aileron,Elevator,Rudder
4.8,-0.011541632009584466,0.013310387968657434,0.00772764455187411,-0.03764802053217105,-0.008837087858282347,0.03668713868531908,0.1364818956344887,-0.022301363094392092,-0.009302994408779838
4.8100000000000005,-0.011081005462126639,0.017741937946543777,0.006766260261256661,-0.035863270169499036,-0.00667108972986377,0.037177573439905964,0.5499012320128572,0.21406575819433768,0.01893794348654196
4.82,-0.010990053907142331,0.017359655812073535,0.005280189968758691,-0.02572711607092934,-0.005118252632440832,0.03348102328115156,-0.050098767987142676,0.6195245127132238,-0.35247332493259736
4.83,-0.008811592332271906,0.015342031814942593,0.005387551218615424,-0.026577893344269292,-0.005749774800160316,0.03272441654407249,0.024942355123963974,0.05467193793662572,-0.34843427781574854
4.84,-0.007167492326921142,0.012781348142701288,0.005208223485182836,-0.023630608787974718,-0.003847485408016053,0.028486461981723072,0.02336536219814227,0.17786287545559568,-0.5961059356058608
4.8500000000000005,-0.0057816593453332635,0.012939591379058486,0.0047295056732769075,-0.028616710976907492,-0.0020569120767815526,0.03013734574254048,0.15177494392867882,-0.42213712454440433,0.0038940643941391575
4.86,-0.004823031025587698,0.012120253169586445,0.0051608793961967535,-0.0320914141457274,-0.002285573214042316,0.0294811484240626,-0.06897576137418922,-0.3081847651255797,-0.06837182534536093
4.87,-0.003603511035353898,0.015984458985166372,0.0038505729277367087,-0.030310220072228194,-0.0019624548612083414,0.02886186849770374,0.3361960121864809,0.29181523487442024,0.23283429882697126
4.88,-0.0057528723455951315,0.018491356942279616,0.0025258317613425884,-0.031222544480603995,-0.0007495469682495562,0.025654838105329817,0.20436335414803072,-0.16471175898764354,-0.2959689990710807
4.89,-0.0048814415843946276,0.015645345494587366,0.002639649088580982,-0.0251829364462754,-0.0002958809076373708,0.019995553521183294,-0.17479476252543832,0.22023287814746992,-0.5504591814736719
4.9,-0.004553148317446392,0.012761095831052107,0.003206975806279277,-0.025531258812026742,0.0004552994679800805,0.019258913916290192,-0.20552650830224062,-0.20626577142114,0.04954081852632809
4.91,-0.005756838174985214,0.009484816019778868,0.0018749419692207568,-0.021812912696746276,-0.00064422193601485,0.01763941450843448,-0.3809192613482529,0.08891646237364488,-0.18624735377123083
4.92,-0.004163041510309504,0.006687606099352584,0.0010297939653738475,-0.01775733275925538,0.0015264505685355768,0.01772564331793566,-0.1339563513183692,0.23675787314130245,0.1943422748327376
